"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"8";"";"DIODE-SOD323-W";"SOD323-W";"D1, D2, D3, D4, D5, D6, D7, D8";"DIODE";"";"";"";"";"";
"2";"";"LED3MM";"LED3MM";"LED1, LED2";"LED";"";"";"";"";"";
"4";"100K";"POTALPS-KIT";"ALPS_POT_KIT";"GAIN1, GAIN2, RMUTE1, RMUTE2";"";"";"";"";"";"RES-09177";
"4";"100K";"RESISTOR0603-RES";"0603-RES";"R8, R16, R25, R33";"Resistor";"";"";"";"";"";
"8";"100n";"CAP0805";"0805";"C1, C5, C6, C8, C10, C15, C16, C19";"Capacitor";"";"";"";"";"";
"4";"100p";"CAP0805";"0805";"C3, C4, C12, C13";"Capacitor";"";"";"";"";"";
"2";"100u";"CAP_POLD";"PANASONIC_D";"C14, C18";"Capacitor Polarized";"";"";"";"";"";
"4";"10K";"RESISTOR0603-RES";"0603-RES";"R4, R14, R20, R31";"Resistor";"";"";"";"";"";
"8";"1K";"RESISTOR0603-RES";"0603-RES";"R7, R9, R11, R15, R24, R27, R28, R32";"Resistor";"";"";"";"";"";
"2";"1u";"CAP0805";"0805";"C2, C11";"Capacitor";"";"";"";"";"";
"12";"200K";"RESISTOR0603-RES";"0603-RES";"R1, R2, R3, R5, R10, R12, R18, R19, R21, R22, R26, R29";"Resistor";"";"";"";"";"";
"4";"47K";"RESISTOR0603-RES";"0603-RES";"R13, R17, R30, R34";"Resistor";"";"";"";"";"";
"2";"560p";"CAP0805";"0805";"C21, C22";"Capacitor";"";"";"";"";"";
"6";"AUDIO-JACKINLINE";"AUDIO-JACKINLINE";"ERTHENVAR-JACK-INLINE";"MUTE1, MUTE2, OUT1, OUT2, PLK1, PLK2";"Switching Mono 3.5mm Audio Jack from Erthenvar. Horizontal package.";"";"";"";"";"";
"4";"AUDIO-JACKINLINE-FLOATGND";"AUDIO-JACKINLINE-FLOATGND";"ERTHENVAR-JACK-INLINE-SHAREGND550";"CTRL1, CTRL2, IN1, IN2";"Switching Mono 3.5mm Audio Jack from Erthenvar. Horizontal package.";"";"";"";"";"";
"2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$1, U$2";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";
"2";"LM397";"LM397";"SOT23-5";"IC2, IC5";"7 Single General-Purpose Voltage Comparator";"";"";"";"";"";
"2";"OPAMP-QUADSO14";"OPAMP-QUADSO14";"SO14";"U1, U2";"";"";"";"";"";"";
"1";"POWER_SIMPLE10_SHROUDED";"POWER_SIMPLE10_SHROUDED";"POWER_10_SHROUDED";"P1";"";"";"";"";"";"";
"6";"VTL5C9SMALL";"VTL5C9SMALL";"VTL5C-SMALL";"LDR1, LDR2, LDR3, LDR4, LDR5, LDR6";"Low Cost Axial Vactrols";"VACTEC PHOTO";"VTL5C9";"2067857";"95F9033";"";
